ProductID,Category,Title,Description,Price,Link,Rating,Image1,Image2,Image3,Image4
1,PlayStation 5 Controllers,Playstation 5 Ps5 original controller DualSense� Wireless controller suitable for Sony Ps5 Bluetooth gaming console,,92.12,https://www.aliexpress.com/item/1005006798007779.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-0&pdp_npi=4%40dis%21PKR%2179309.16%2131723.82%21%21%212058.54%21823.42%21%4021411ecc17317818742363674e29cf%2112000038339471975%21sea%21PK%210%21ABX&curPageLogUid=oP1brXiRsrWS&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_1_1.png,./productsAliExpress/PlayStation 5 Controllers_1_2.png,./productsAliExpress/PlayStation 5 Controllers_1_3.png,./productsAliExpress/PlayStation 5 Controllers_1_4.png
2,PlayStation 5 Controllers,Sony Controle PS5 Original PS5 DualSense Wireless Controller PlayStation 5 Gamepad Controller PS5 Original Dualsense ps5,,89.99,https://www.aliexpress.com/item/1005004888325445.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-2&pdp_npi=4%40dis%21PKR%2149993.26%2124996.63%21%21%21179.98%2189.99%21%4021411ecc17317818742363674e29cf%2112000039788098774%21sea%21PK%210%21ABX&curPageLogUid=6b7YDDK8XhFR&utparam-url=scene%3Asearch%7Cquery_from%3A,4.2,./productsAliExpress/PlayStation 5 Controllers_2_2.png,./productsAliExpress/PlayStation 5 Controllers_2_3.png,./productsAliExpress/PlayStation 5 Controllers_2_4.png,
3,PlayStation 5 Controllers,QRD Spark N5 Wireless Controller forPS5 PS4 PS3 IOS Android PC Hall Effect 9-color LED lights Vibration effect PS4 Gamepad,,60.08,https://www.aliexpress.com/item/1005005887167387.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-3&pdp_npi=4%40dis%21PKR%2120780.64%2117889.58%21%21%21539.38%21464.34%21%4021411ecc17317818742363674e29cf%2112000043141290309%21sea%21PK%210%21ABX&curPageLogUid=9NU2wr9fA1Go&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_1,0,./productsAliExpress/PlayStation 5 Controllers_3_2.png,./productsAliExpress/PlayStation 5 Controllers_3_3.png,./productsAliExpress/PlayStation 5 Controllers_3_4.png,
4,PlayStation 5 Controllers,Playstation5 Controller For Ps5/Ps4/Xbox 360 Console Dualsense Support Vibration Function/Programming/Turbo Wired mando gamepad,,17.9,https://www.aliexpress.com/item/1005007929104286.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-4&pdp_npi=4%40dis%21PKR%217369.81%216556.12%21%21%21191.29%21170.17%21%4021411ecc17317818742363674e29cf%2112000042898694762%21sea%21PK%210%21ABX&curPageLogUid=5rnBdk17hNk3&utparam-url=scene%3Asearch%7Cquery_from%3A,4.5,./productsAliExpress/PlayStation 5 Controllers_4_2.png,./productsAliExpress/PlayStation 5 Controllers_4_3.png,./productsAliExpress/PlayStation 5 Controllers_4_4.png,
5,PlayStation 5 Controllers,2PCS P5 Gamepad - For PS5 Console Wireless Controller W/ Dual Vibration Hall Effect Turbo FUNC Game Remote Control Accessories,,45.89,https://www.aliexpress.com/item/1005008041084530.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-5&pdp_npi=4%40dis%21PKR%219862.89%216805.40%21%21%21256.00%21176.64%21%4021411ecc17317818742363674e29cf%2112000043383057817%21sea%21PK%210%21ABX&curPageLogUid=1Tgw8z7IGqQH&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_5_2.png,./productsAliExpress/PlayStation 5 Controllers_5_3.png,./productsAliExpress/PlayStation 5 Controllers_5_4.png,
6,PlayStation 5 Controllers,Playstation 5 Controller For Ps5 Bluetooth Gamepad for PC/steam Console With Turbo Dual Sense Vibrate Programming Function,,27.58,https://www.aliexpress.com/item/1005007965560904.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-6&pdp_npi=4%40dis%21PKR%217666.85%217666.85%21%21%21199.00%21199.00%21%4021411ecc17317818742363674e29cf%2112000043061818364%21sea%21PK%210%21ABX&curPageLogUid=SndYZCnAeEgs&utparam-url=scene%3Asearch%7Cquery_from%3A,1,./productsAliExpress/PlayStation 5 Controllers_6_1.png,./productsAliExpress/PlayStation 5 Controllers_6_2.png,./productsAliExpress/PlayStation 5 Controllers_6_3.png,./productsAliExpress/PlayStation 5 Controllers_6_4.png
7,PlayStation 5 Controllers,Gamepad Wireless Gaming Controller Machenike G5 Pro Elite Hall Trigger Joystick Mecha-Tactile Buttons For Switch PC Android IOS,,32.41,https://www.aliexpress.com/item/1005006251691728.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&aem_p4p_detail=202411161031141056261846435880002724517&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-7&pdp_npi=4%40dis%21PKR%2123729.49%2111627.42%21%21%21615.92%21301.80%21%4021411ecc17317818742363674e29cf%2112000036473740583%21sea%21PK%210%21ABX&curPageLogUid=XVTg3bfOgtTo&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202411161031141056261846435880002724517_2,4.9,./productsAliExpress/PlayStation 5 Controllers_7_1.png,./productsAliExpress/PlayStation 5 Controllers_7_2.png,./productsAliExpress/PlayStation 5 Controllers_7_3.png,./productsAliExpress/PlayStation 5 Controllers_7_4.png
7,PlayStation 5 Controllers,Sony PS5 Gamepad Astro Bot Limited Edition Original Playstation 5 DualSense Wireless Controller PS5 Command,,131.6,https://www.aliexpress.com/item/1005007721937762.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-8&pdp_npi=4%40dis%21PKR%2177773.16%2136554.69%21%21%21279.99%21131.60%21%4021411ecc17317818742363674e29cf%2112000043196304966%21sea%21PK%210%21ABX&curPageLogUid=VUIuhfdj8gJP&utparam-url=scene%3Asearch%7Cquery_from%3A,0,./productsAliExpress/PlayStation 5 Controllers_7_2.png,./productsAliExpress/PlayStation 5 Controllers_7_3.png,./productsAliExpress/PlayStation 5 Controllers_7_4.png,
8,PlayStation 5 Controllers,For SONY PS5 Dual Sence Joystick Wireless Bluetooth Controller Chat Pad Keypad for Playstation 5 Gamepad Mount Built-in Speaker,,9.54,https://www.aliexpress.com/item/1005006867278550.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-9&pdp_npi=4%40dis%21PKR%2112666.87%215066.67%21%21%21328.78%21131.51%21%4021411ecc17317818742363674e29cf%2112000038565048241%21sea%21PK%210%21ABX&curPageLogUid=6G0vfW7deGUc&utparam-url=scene%3Asearch%7Cquery_from%3A,4.2,./productsAliExpress/PlayStation 5 Controllers_8_1.png,./productsAliExpress/PlayStation 5 Controllers_8_2.png,./productsAliExpress/PlayStation 5 Controllers_8_3.png,./productsAliExpress/PlayStation 5 Controllers_8_4.png
9,PlayStation 5 Controllers,Wireless Gamepad For PS5 Console - P5 Controller  With Turbo Dual Vibration Touchpad  Gaming Remote Accessories,,25.42,https://www.aliexpress.com/item/1005007942785689.html?algo_pvid=4e1468ec-b614-40a7-bf69-2e53cf19945e&algo_exp_id=4e1468ec-b614-40a7-bf69-2e53cf19945e-10&pdp_npi=4%40dis%21PKR%2110094.05%217065.84%21%21%21262.00%21183.40%21%4021411ecc17317818742363674e29cf%2112000042956717143%21sea%21PK%210%21ABX&curPageLogUid=KTaPPrhnoLTD&utparam-url=scene%3Asearch%7Cquery_from%3A,5,./productsAliExpress/PlayStation 5 Controllers_9_2.png,./productsAliExpress/PlayStation 5 Controllers_9_3.png,./productsAliExpress/PlayStation 5 Controllers_9_4.png,
