Category,URL
Gaming Headsets,https://www.newegg.com/p/pl?d=gaming+headset&PageSize=96
PlayStation 5 Controllers,https://www.newegg.com/p/pl?d=playstation+5+controller&PageSize=96
Gaming Keyboards,https://www.newegg.com/p/pl?d=gaming+keyboard&PageSize=96
Gaming Mice,https://www.newegg.com/p/pl?d=gaming+mouse&PageSize=96
Nintendo Switch Accessories,https://www.newegg.com/p/pl?d=nintendo+switch+accessories&PageSize=96
PlayStation 5 Games,https://www.newegg.com/p/pl?d=playstation+5+games&PageSize=96
Gaming Monitors,https://www.newegg.com/p/pl?d=gaming+monitor&PageSize=96
Virtual Reality Accessories,https://www.newegg.com/p/pl?d=vr+accessories&PageSize=96
Gaming Chairs,https://www.newegg.com/p/pl?d=gaming+chair&PageSize=96
PlayStation 4 Accessories,https://www.newegg.com/p/pl?d=playstation+4+accessories&PageSize=96
